id,activity,sector,use
987629,Home Energy,Personal Use,To buy a bio-digester for clean reliable cooking.
1154382,General Store,Retail,to buy more stocks of groceries to sell.
723133,Phone Repair,Services,to buy a new computer
832108,Pigs,Agriculture,to buy piglets and musk ducks
1293554,General Store,Retail,"to buy rice, soft drinks, noodles, flour, toilet paper, and other products."
1296577,Farming,Agriculture,to buy land to cultivate to help fulfill his dream of improving his family's living conditions.
1261969,Spare Parts,Retail,"to purchase tires, headlights, etc."
779570,General Store,Retail,To buy more rice and cooking oil for sale.
1089463,Grocery Store,Food,buy 150L of milk
937802,Food Production/Sales,Food,"To increase her mini-mart inventory by buying uices, eggs, noodles, rice, sugar, beans, soft drinks, children’s snacks, and other products"
776396,Food Production/Sales,Food,to buy ingredients for her food production business
782894,Beauty Salon,Services,To buy hair relaxers and braids.
722277,Farming,Agriculture,"pay for fertilizer, plowing, and herbicides."
1302089,Farming,Agriculture,to purchase seeds and fertilizers.
905340,Fish Selling,Food,"to buy seafood (shrimps, crabs...), dried dish, and freshwater fish"
1333841,Used Clothing,Clothing,to buy more used clothes to sell
659458,Clothing Sales,Clothing,to add stock of clothes for her retail business
983764,Farm Supplies,Agriculture,To pay for harvesting/pruning knife
1024861,Higher education costs,Education,to pay for univerity fees.
799147,Construction Supplies,Construction,"to purchase construction materials such as sand, cement, and paint."
771519,Fruits & Vegetables,Food,to purchase more fruit to sell in her fruit stand
1236913,Livestock,Agriculture,to buy a few cows in order to increase her livestock headcount.
1014426,Cattle,Agriculture,to buy three calves.
1053327,General Store,Retail,"to buy items to sell like beverages, canned goods, junk foods, home care products, and other groceries."
987422,Higher education costs,Education,to cover his tuition for this semester.
765292,Food Stall,Food,"To buy water, juice and soft drinks."
1054865,Farming,Agriculture,To buy seedlings and fertilizer.
888147,Food Production/Sales,Food,to buy additional ingredients for the snacks she makes and sells
1238521,Cereals,Food,to buy additional sacks of rice to sell and other supplies needed in her business.
1150500,Farming,Agriculture,to pay for labor costs and weeding maintenance.
694630,Clothing Sales,Clothing,to make bulk purchases of clothes
1089476,Services,Services,purchase materials for cloth-making and small accessories for my tailoring shop
1220257,Food Production/Sales,Food,"to buy corn, firewood, plantain leaves, vegetables, condiments, oil and cooking utensils to continue selling chicken tamales."
698204,Metal Shop,Manufacturing,to buy additional materials for her welding business
714463,Farming,Agriculture,"to buy cashew seeds, which she will plant, grow, and harvest as a source of extra income for her family"
1260118,Agriculture,Agriculture,to buy apricot tree seedlings and mineral fertilizers in order to expand her orchard.
915690,Farming,Agriculture,to buy a cow to supplement his farming activities.
1171591,Agriculture,Agriculture,buy fertilizer and other agricultural supplies for the maintenance of coffee crops.
1266345,Poultry,Agriculture,to buy concentrated feed for the hens and chicks and to buy materials to build an enclosure.
785588,Personal Housing Expenses,Housing,to buy construction materials for building a bathroom.
1086376,Clothing,Clothing,purchase more clothes for saling in my business
1270770,Home Appliances,Personal Use,to purchase a water filter to provide safe drinking water for the family.
1081138,Cosmetics Sales,Retail,increase the level of business stock in my shop .
1292574,Tailoring,Services,"to expand her tailoring enterprise by purchasing a sewing machine, dresses, frocks etc."
681392,Food Production/Sales,Food,"to buy supplies such as corn, sugar, disposable cups and seasonal produce such as tamarind, jocose fruit, and mangos."
1082710,Cosmetics Sales,Retail,buy braids and cosmetics to stock at my Queens SH 100 salon and cosmetics.
873721,Personal Products Sales,Retail,"To pay for additional supplies and merchandise like clothing, footwear, undergarments, and cosmetics needed in her business."
1015289,Higher education costs,Education,to pay the university fees for the new semester.
707067,Agriculture,Agriculture,"to buy seeds, fertilisers, manure, anti-disease treatments, weed-killers and other supplies; and to improve his land."
1139766,Pigs,Agriculture,to buy feeds and other supplies to raise her pigs
1105895,Poultry,Agriculture,"buy chickens, chicken feed, and vitamins to feed the animals."
860682,Cosmetics Sales,Retail,to purchase cosmetic products
1146155,Bakery,Food,"to buy flour, sugar, salt, meat, cheese, and dough-cutting tools for making pastries."
795429,Farming,Agriculture,To buy cereals to sell
1215030,Internet Cafe,Services,to pay for computer parts to assemble another PC for her internet cafe
1019197,Livestock,Agriculture,to breed cows for sale.
1226947,Farming,Agriculture,"to buy seeds, fertilizer & 2 solar lights."
952552,Cloth & Dressmaking Supplies,Retail,to purchase six lengths of high-quality pagne cloth and two lengths of medium-quality pagne cloth.
1328300,Food,Food,to purchase additional seaweeds to sell
1331065,Farming,Agriculture,to purchase supplies and fertilizers for his parcel as well as pay labor costs.
980441,General Store,Retail,"to buy a display case to stock it with stationery supplies: reams of paper, pencils, pens, erasers, sharpeners, and markers, among others."
726008,Food Stall,Food,"to purchase rice, onions, cooking oil, tomatoes, beans, wheat flour, vegetables, and potatoes"
663889,Livestock,Agriculture,to buy steers
1026279,Clothing,Clothing,"to buy various garments like jeans, shirts, pants, dresses, and others to sell."
748611,General Store,Retail,"To pay for grocery items, toiletries and beverages needed in her business."
1157625,General Store,Retail,"to purchase stocks of sugar, rice, maize flour, and wheat flour."
977430,Personal Medical Expenses,Health,to buy medicines for her treatment .
1259295,Bakery,Food,"to purchase flour, cheese, sweeteners, and other ingredients."
1096308,Crafts,Arts,to invest in a bulk purchase of silver
714897,Fish Selling,Food,to purchase additional boxes of dried fish to sell
1193121,Food Production/Sales,Food,"to buy food to sell such as chips, biscuits, candies and mango fruit; another part will be used to buy fertilizer and feed for her farm."
1097333,Farming,Agriculture,"to pay for 2 oxen, buy fertilizer and pay for fuel needed for cultivation development."
687486,Agriculture,Agriculture,to buy fertilizer to maintain his coffee crops.
959534,Farming,Agriculture,to buy more fertilizer and rice seed and to pay for labor for plowing in order to improve her farming to increase her yield.
1033601,General Store,Retail,"to buy more Colgate, biscuits and salt to sell."
728420,Farming,Agriculture,"to buy compost, fertilizers, and poisons to plant sweet potatoes, corn, yucca, cucumbers, etc."
698511,Food Production/Sales,Food,to purchase materials to make processed food to sell.
1215327,Dairy,Agriculture,to buy a dairy cow.
893782,Agriculture,Agriculture,"to invest in fertilizer, insecticide, and pest control to plant corn and beans."
827390,Farming,Agriculture,"to purchase  fertilizer, seedlings, and insecticides to sell."
1284545,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
1301577,Retail,Retail,to buy a variety of glasses for her husband's glasses shop for reselling.
814861,General Store,Retail,"to buy stocks of salts, biscuits and beverages to meet customers’ demand time after time for increasing revenues. "
1200834,Hardware,Retail,to buy more rubber dishes and glass dishes to sell.
705588,Grocery Store,Food,to buy rations and milk. 
1176404,Fish Selling,Food,to buy more sea foods to sell.
972636,Arts,Arts,to buy raw materials for her pottery business.
765728,Arts,Arts,to buy materials for making jewelry.
1103898,Farming,Agriculture,to pay for plowing of her farmland for the new planting season.
980630,Beauty Salon,Services,to purchase chemicals and hair conditioners for her beauty salon business
1301040,Tailoring,Services, to purchase a new stitching machine with some spools of threads and laces for meeting the demands of her customers consistently
1297158,Agriculture,Agriculture,to buy agricultural materials.
752482,Pharmacy,Health,to buy more stock of medicine
831811,General Store,Retail,"buy more stock of washing soap, ground nuts and other items"
886104,Cereals,Food,to purchase grains
888080,Animal Sales,Agriculture,to purchase sheep for resale
878887,Bookstore,Retail,to buy more school supplies.
1181123,Liquor Store / Off-License,Food,to grow his working capital and buy a large quantity of bananas to make into wine and sell so as to have more earnings.
1071583,Transportation,Transportation,to buy spare parts and other supplies needed for the maintenance of her business
813643,Farming,Agriculture,to buy farming supplies so that she can maintain her coffee crops during the new season.
1238334,Retail,Retail,to buy lingerie and household utensils.
877762,Fruits & Vegetables,Food,to buy more stocks of vegetables to sell at her food stall
738617,Jewelry,Retail,to buy gold and silver to make items of jewelry.
1210058,Food Stall,Food,"to buy corn, oil, yuca, bananas, potatoes, cheese and beans to sell traditional food from her food stall, and to buy drinks."
1074677,Pigs,Agriculture,to purchase breeding pigs.
1111079,Farming,Agriculture,to buy fertilizer
676062,General Store,Retail,to buy more groceries to sell.
1327328,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
995792,Fishing,Food,"to buy fish nets, gasoline and other fishing supplies."
1177341,Farming,Agriculture,to purchase fertilizer.
1321516,Personal Housing Expenses,Housing,to repair the roof of his house so that it stops leaking when it rains.
1153811,Farm Supplies,Agriculture,to buy mineral fertilizers and seeds
868062,Clothing Sales,Clothing,to buy inventory of clothes to sell
1202919,Shoe Sales,Retail,to buy men's and women's footwear and clothing.
966015,Personal Expenses,Personal Use,"to buy food and clothing, eliminating pressure to sell maize for low prices at harvest ."
1039958,Farming,Agriculture,to buy land where she can expand her farming project.
996209,Farming,Agriculture,to purchase fertilizer and pay labor costs.
867111,Farming,Agriculture,"to buy agricultural supplies such as seeds, fertilizers, manure, etc."
819526,Higher education costs,Education,to pay for her nephew's education.
1147672,Restaurant,Food,to purchase condiments and beverages for her restaurant business
907499,General Store,Retail,"To buy items such as rice, lotion and sugar to sell, to help pay school fees for her children"
943562,General Store,Retail,"to buy rice, grocery items, cases of beverages, and containers of mineral water."
687047,Sewing,Services,to purchase a sewing machine and pay off her existing credit balance.
1067598,Personal Housing Expenses,Housing,to install a toilet in her home so that she will no longer have to depend on an open field for defecation.
1103116,Fish Selling,Food,to buy assorted fresh fish to sell.
951238,Pigs,Agriculture,to purchase feed and other supplies to raise her pigs.
964700,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
1158192,General Store,Retail,"to buy rice, corn, beans, eggs, soup, coffee, salsa, candy and sugar for the store as well as to buy bicycle parts."
666296,Retail,Retail,"to buy more stock of cereals, sugar, bread, flour and other items."
1189815,Agriculture,Agriculture,to buy wheat and barley seeds and mineral fertilizer.
753603,Education provider,Education,to buy a computer and some literature in order to make her lessons more informative and more attractive for her pupils
1043120,Personal Housing Expenses,Housing,"to buy cement, sand, and stones to enlarge his one-room house by building a living room."
1156782,General Store,Retail,"to buy sweets, rice, panela (cane sugar), cookies, fried foods, chocolate bars, chewing gum, salt, and sugar."
1178490,Personal Housing Expenses,Housing,"to purchase sand, cement, bricks, and equipment to build a toilet"
1231383,Retail,Retail,buy items such as bulk sugar and food colouring
1047678,Food Production/Sales,Food,"buy cold cuts, bread, sauces and vegetables."
1195508,Home Energy,Personal Use,to buy an eco-friendly stove.
1047771,Agriculture,Agriculture,"to buy more seeds, fertilizers, insecticides, herbicides, formula, etc. and to improve her land."
996530,Farming,Agriculture,to purchase hybrid seeds and fertilizer to improve harvests of maize.							
1232130,Agriculture,Agriculture,to purchase improved corn seed and agricultural supplies to be able to perform the sowing at the right time.
1013384,Farming,Agriculture,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.
1232651,Farming,Agriculture,to purchase hybrid seeds and fertilizer for the cultivation of maize							
889713,Home Products Sales,Retail,to purchase curtains and tablecloths wholesale.
694982,Retail,Retail,"to buy bags of sugar, boxes of soap, and cartons of water for resale."
1110566,Retail,Retail,"to buy T-shirts, pants, blouses, shirts, shorts, leggings, boots, lingerie, shoes and cologne, among other things."
960855,Food,Food,"to buy products for making food (COP 500,000) and to remodel her kitchen (COP 1,000,000).
"
812031,Education provider,Education,to pay for tuition for a 2-month call center training program that can get her a job paying about $270 monthly
786698,Farming,Agriculture,"to buy pesticides, herbicides and fertilizer for his bean crops. "
1114760,Fish Selling,Food,to buy more fresh fish to sell and other needed materials including plastic bags and boxes for her fish.
995732,General Store,Retail,"to buy items to sell like eggs, canned goods, junk foods, home product care, and other groceries"
1296702,Personal Housing Expenses,Housing,"to purchase sand, cement, brick and equipment to build a toilet."
1169539,Livestock,Agriculture,to buy feed and other supplies to raise Editha's livestock.
1254739,General Store,Retail,"to buy candy, rice, oils, grains and more."
1315439,Poultry,Agriculture,to buy feeds and other supplies to raise her poultry
829985,Farming,Agriculture,to buy fertilizer and herbicides needed to grow vegetables
1041122,Agriculture,Agriculture,to purchase animals such as chicken and pigs and balanced feed for fattening and breeding.
903079,Education provider,Education,to pay for tuition for a 2-month call center training program that can get her a job paying about $270 monthly
834860,Taxi,Transportation,to buy an electric car in order to render taxi service during his day off
1027019,Agriculture,Agriculture,to maintain and fertilize his farm  
990213,Sewing,Services,to buy sewing products and best materials for making suits and ladies' dresses that are in style.
897888,Weaving,Arts,to buy additional materials for her weaving business
1069645,Food,Food,"To  buy more bananas, rice, beans and sugar to sell to his community."
1319255,Personal Products Sales,Retail,"to purchase additional items, like Avon, Natasha and other personal care products, to sell."
904643,Higher education costs,Education,to pay for one year tuition fees and living expenses at the Maharishi Institute. 
1254541,Pigs,Agriculture,to purchase four piglets
1117220,Clothing Sales,Clothing,"buy more products to sell such as jeans, t-shirts, shoes, and blouses."
802984,Metal Shop,Manufacturing,to buy materials for making metallic boxes
1028420,Farm Supplies,Agriculture,to buy fertilizer to grow maize.
1038208,Farming,Agriculture,to gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.
916127,Electronics Repair,Services,to develop and expand his work. He will use the loan to buy more machines and tools to improve the quality of his work.
1086953,Cosmetics Sales,Retail,boost my business with new capital 
1273442,General Store,Retail,"to pay for grocery items, toiletries, and beverages for her store."
716123,Crafts,Arts,to buy wool for her business.
1241462,Higher education costs,Education,"to pay her education fees in nursing, to let her excel and finish her studies to be able to work in her field, and to help her father with family expenses."
712940,Restaurant,Food,"to buy a 10,000 litre water tank to store clean water for domestic use and for her restaurant business."
717757,Retail,Retail,to purchase more clothing and dry goods to sell.
1159815,Bookstore,Retail,to buy a photocopier.
999922,Personal Housing Expenses,Housing,"to purchase sand, cement, bricks and equipment to build a toilet."
1303795,General Store,Retail,to buy additional items to sell in her general store
1135652,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for her family
673892,Fruits & Vegetables,Food,"to purchase cabbages, carrots, and various other vegetables for resale per customer needs. "
765651,Higher education costs,Education,to pay his daughter's tuition fee.
943598,Retail,Retail,to increase her merchandise with new collection of Tupperware.
828422,Pigs,Agriculture,"to buy pig feed and purchase fertilizers, and pay for the laborer."
826053,Food Stall,Food,"to buy Irish potatoes, cassava, and cooking oil for making crisps"
954807,Laundry,Services,"to buy soaps, fabric softener, and other supplies for her launderette."
1060785,General Store,Retail,"to buy items to sell like beverages, school supplies, condiments, and other groceries."
1173876,Farming,Agriculture,to buy some livestock and to build a barn for her farm animals.
739108,Farming,Agriculture,To purchase paddy seeds and other agricultural inputs for cultivation.
1062408,Clothing Sales,Clothing,to buy new clothes to sell.
1250120,Farming,Agriculture,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.				
1141065,Motorcycle Transport,Transportation,"to repair his boda-boda, a motorcycle used for transporting customers."
881789,Food Stall,Food,"to buy supplies like chicken, vegetables, spices, etc. to attract new customers with a new menu"
950597,Tailoring,Services,to increase her tailoring business.
989093,Personal Expenses,Personal Use,"to buy food and clothing, eliminating pressure to sell maize for low prices at harvest."
1141623,Sewing,Services,to buy a sewing machine.
980835,Services,Services,to generate more capital to assist clients to send and receive money when they need to most.
978841,General Store,Retail,to purchase more groceries to sell in her general store
700045,Agriculture,Agriculture,"to prepare the land for sowing, pay for the rental of the land and purchase of fertilizers and seeds. "
963173,General Store,Retail,"to buy soft drinks, groceries and to purchase additional P.O. (purchase order)."
888306,General Store,Retail,to purchase more groceries to sell
747105,Farming,Agriculture,To access high-quality inputs such as fertilizer and seed in order to double income and yield.
1054028,Cattle,Agriculture,to buy and resell cattle. 
1016191,Poultry,Agriculture,to purchase chickens and feed.
973774,Pigs,Agriculture,to buy feeds and other supplies to raise her pigs
948491,Recycled Materials,Retail,to buy a batch of scrap items.
1062011,Fruits & Vegetables,Food,to buy more stock of fruits.
687785,Jewelry,Retail,to purchase additional cultured pearl to sell
977365,Motorcycle Transport,Transportation,to purchase additional spare parts for the maintenance of her motorcycle
897203,Agriculture,Agriculture,"to buy seeds, manure, fertilizer, and weed-killer."
727334,Manufacturing,Manufacturing,To buy more raw materials for making liquid soap.
1290481,Cereals,Food,to buy cereals to sell in her village.
660515,General Store,Retail,to purchase additional items to sell in her general store
1234024,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
1335294,Food Production/Sales,Food,to buy beer and more beef and pork. He wants a larger stock to meet the current demand and increase his income.
1013380,Rickshaw,Transportation,to buy an additional rickshaw for her son so he can drive and contribute in monthly income like his father.
1045969,Clothing Sales,Clothing,to buy clothing and to continue her sales.
1310141,Fuel/Firewood,Retail, to buy gas pipes for his work.
1240152,Retail,Retail,to buy some medicines and some beverages to retail.
1049328,Fish Selling,Food,to buy more dried fish to sell.
1300969,Farming,Agriculture,to buy maize seedlings and fertilizer to grow more maize for sale.
719456,General Store,Retail,to purchase more groceries to sell.
785040,Dairy,Agriculture,To purchase a dairy cow for her dairy business.
1038822,Retail,Retail,to buy baskets and plastic containers to store her products.
928729,Farming,Agriculture,To purchase improved farm inputs that will increase his yields
807226,Restaurant,Food,"to purchase ingredients to prepare her meals such as rice, oil, seasonings, vegetables, and meat. "
1096274,Farming,Agriculture,"to purchase seeds, fertilizers, manure, pesticides and to improve the land."
856670,Tailoring,Services,to repair the vehicle that he uses for his tailoring activity.
1076977,Farming,Agriculture,to buy seeds and start horticulture farming.
1257935,Farming,Agriculture,to purchase seedlings and fertilizer for her business
909446,Fish Selling,Food,to purchase fish stock.
1231138,Farming,Agriculture,to purchase hybrid seeds and fertilizer for the coming harvesting season
977059,Clothing Sales,Clothing,to purchase newly released winter clothes collection.
1326396,Food,Food,"to purchase breads, biscuits, beverages, juices, and food ingredients to use in her food-vending business."
1141397,Farming,Agriculture,to buy some livestock and fertilizer in order to invest in her business.
1186468,Pigs,Agriculture,"to buy feed, vitamins and other supplies to raise her livestock."
1174876,Furniture Making,Manufacturing,"to increase the stock of timber, leather, carpets and materials needed for making modern furniture."
873511,General Store,Retail,"to add to his stock of general merchandise like sugar, salt, matches, cooking oil, soap and biscuits to sell in his retail shop."
876467,Personal Expenses,Personal Use,to buy construction supplies and renovate his house. 
979801,Clothing Sales,Clothing,to buy more stock of clothes.
863663,Food Stall,Food,"to purchase a stock of goods like sugar, rice, maize and wheat flour, and cooking fat oil."
917807,Personal Housing Expenses,Housing,to carry out urgent house repairs such as changing a door window and locksmith repairs due to the rainy season
1307226,Farming,Agriculture,to purchase cassava seeds to grow more cassava
777368,Food Production/Sales,Food,to buy more stock of ingredients to prepare mandazi.
1012526,Poultry,Agriculture,to buy 100 chickens and feed for them.
842564,Fruits & Vegetables,Food,to purchase more fruits and vegetables to sell.
928349,Clothing Sales,Clothing,"to invest in a variety of clothing for women, men and children. She will also buy fruit to make smoothies."
1208576,Retail,Retail,"to restock her store with items like canned goods, oil, and soy sauce."
944746,Farming,Agriculture,to purchase improved farm inputs that will increase farmers' yields.
1155721,Food,Food,to buy a large quantities of sorghum and  beans to sell.
1202108,Transportation,Transportation,to buy tools to repair his car
687348,Retail,Retail,"to buy sugar, coconut, flavoring, wrapping, etc. "
1080383,Services,Services,airtime in wholesale
1307017,Home Products Sales,Retail,to bolster her stock of household products
1217244,Livestock,Agriculture,to buy a dairy cow in order to increase the volume of organic milk sales.
1265893,General Store,Retail,"to purchase food ingredients, coffee, sugar, breads, biscuits, beverages, noodles, and canned goods to sell."
1250548,Textiles,Arts,"who is requesting a loan to buy a variety of colorful thread, “huipiles” and “cortes”."
724819,Agriculture,Agriculture,"to purchase seeds, fertilizers, compost, pest control, herbicides etc. and to improve his land. "
1329551,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.
1124416,General Store,Retail,"to buy more stock of eggs, juices, flour, bread, and other items."
982066,Personal Expenses,Personal Use,"to buy food and clothing, eliminating pressure to sell maize for low prices at harvest ."
1031177,Pigs,Agriculture,to buy feeds and other supplies to raise her pig
1062497,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.
665639,Farming,Agriculture,to pay for land fees
1118510,Pigs,Agriculture,"to buy construction materials to build a better pen, to buy pigs and to buy feed for them."
1308137,General Store,Retail,to buy additional stocks of groceries to sell.
1193973,Higher education costs,Education,to pay university fees.
1288625,Farming,Agriculture,to pay for land preparation and labor.
1112434,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.
819932,Vehicle,Personal Use,to purchase a motorcycle.
764608,Shoe Sales,Retail,"to buy sandals and flip-flops in new styles, colors, and sizes to offer better buying options to her customers."
1137683,Personal Products Sales,Retail,"to buy personal care products to sell, like Avon and Natasha products."
1088666,Restaurant,Food,compete with national chains by increasing our capacity and efficiency.
1208635,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
1013860,Fishing,Food,to buy new fish nets and materials for boat repair
1321956,Cereals,Food,to purchase additional sacks of rice to sell
1082444,Services,Services,"purchase advertising services, marketing materials, video equipment and other supplies to create products that will help grow my business."
791531,Livestock,Agriculture,to buy vitamins and vaccines for her goats
962810,Retail,Retail,to buy cosmetics and cleaning materials.
1309725,General Store,Retail,to purchase more goods to sell for her sari-sari store.
677354,Fruits & Vegetables,Food,"to buy bitter gourds, string beans, tomatoes and many more vegetables"
667683,Home Products Sales,Retail,to resell improved gas stoves and improved woodstoves. 
868412,Restaurant,Food,"purchase supplies such as rice, oil and others."
949532,General Store,Retail,to purchase more groceries to sell.
1242192,Pigs,Agriculture,to buy feed and vitamins for her pigs.
1056163,Dairy,Agriculture,To buy a good quality dairy cow
1118304,Beauty Salon,Services,"to buy shampoo, dye, hair cream, and lotion, among other things, which she intends to use to increase her inventory to offer a better service to her clients.   "
1165160,Fish Selling,Food,to purchase additional boxes of fish to sell.
1088127,Grocery Store,Food,Enter into egg business to add to my groundnut business.
1149427,Property,Housing,to pay for the repair and maintenance of her rental house and the maintenance of her jeepney.
1199031,Farming,Agriculture,to purchase a solar light as well as hybrid seeds and fertilizer to improve his maize harvests.
728926,General Store,Retail,"to buy additional items such as creamer, coffee, sugar, soft-drinks, beers, soy sauce, juice, etc. to sell"
963428,Personal Housing Expenses,Housing,to build a hygienic toilet and install a commode.
1218907,General Store,Retail,"to buy items to sell, like canned goods, personal care products, rice, sugar, soap, and other groceries."
942887,Fruits & Vegetables,Food,"to buy oranges, mangoes, watermelon, a bag of passion fruit."
1295688,Farming,Agriculture,to buy certified seeds and fertilizers.
679456,Food Production/Sales,Food,to buy ingredients for her food production business.
1252149,Farming,Agriculture,to purchase a solar light and gain access to cost-efficient hybrid seeds and fertilizer for maize cultivation.
1270208,General Store,Retail,"to buy different type of cosmetic products, i.e., cream, perfume , and other accessories."
1003727,Fishing,Food,to buy fishing nets.
835128,Livestock,Agriculture,to buy more sheep for her barn.
1046743,Farming,Agriculture,to buy fertilizer in order to grow peanuts and okra. 
1031590,Butcher Shop,Food,to buy more stocks of meat
856028,Pigs,Agriculture,to buy pigs.
1117945,General Store,Retail,"to buy items to sell like canned goods, snack foods, home care products, and other groceries."
709632,Food,Food,to buy coconuts.
1040028,General Store,Retail,"to purchase additional items to sell, like beverages, canned goods, snack foods, home care products, and other groceries."
1045065,Personal Housing Expenses,Housing,to purchase all the needed construction materials.
989245,Clothing Sales,Clothing,"to purchase sweaters and polos, among other items."
862208,Tailoring,Services,to purchase a new sewing machine along with spools of threads in order to meet all of her orders on time.
807179,Clothing Sales,Clothing,to buy clothing for women and men at wholesale.
799964,Farming,Agriculture,to buy fertilizers and other farm supplies.
764687,Food Stall,Food,
957525,Retail,Retail,"to buy pants for women and men, women's shoes and a kitchen for the preparation of her seafood cocktails."
798516,Bakery,Food,"To pay for purchasing of oil, dough, sugar, etc., in bulk for more bakery production for better living standards"
1197502,Home Products Sales,Retail, to buy bundles of bed sheets and bedspreads in different colors and designs
1017742,Farming,Agriculture,to buy carrot and watermelon seeds and mineral fertilisers
1298410,Pigs,Agriculture,"to buy feeds, vitamins, and other supplies to raise her livestock"
1230340,Pigs,Agriculture,"to buy feed, vitamins, and other supplies to raise her livestock."
901339,General Store,Retail,"to buy two large freezers, snacks, noodles, a new display fridge, cooking oil, cigarettes and frozen goods"
1067380,Electrical Goods,Retail,to buy electric cables
769048,General Store,Retail,"to buy additional items like fabric conditioner, canned goods, milk, soft-drinks, beer, shampoo, cereals, etc. to sell"
961836,Farming,Agriculture,to maintain and grow 1.5 hectares of coffee beans.
1269969,Home Products Sales,Retail,to buy a stock of bed sheets for her purchase and resale business.
830910,Clothing Sales,Clothing,"to buy pants, blouses, shirts, and children's clothing."
973768,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
1124598,Charcoal Sales,Retail,to buy more stock of charcoal.
766305,Food Production/Sales,Food,"to buy yeast, a new oven, large basins, bags of flour, bags of sugar and plastic bags."
890761,Transportation,Transportation,to buy another sidecar
1170929,Liquor Store / Off-License,Food,"to buy a variety of beverages to sell, such as soft drinks, juices, wines, beer, and others."
1326391,Dairy,Agriculture,to have working capital to pay for cow feed to increase her daily milk collection.
726568,General Store,Retail,"To buy oils, coffee, sugar, salt, milk, body lotion, water, beer, eggs, and soft drinks"
1263046,Services,Services,"to buy belts, discs, and drills for his mill."
1002310,Personal Housing Expenses,Housing,to build a latrine to improve the health of her family.
1172984,Restaurant,Food,"to buy ingredients to continue preparing dishes, such as meats, chicken, ham, cheese, eggs, flour, and various other products."
1264021,Plastics Sales,Retail,to buy more plastic items for sale.
891478,Cattle,Agriculture,to buy feed for cattle.
1276020,Utilities,Services,to buy a motor for his milling business.
840574,Milk Sales,Food,to buy a new buffalo for her husband's milk sales business
959657,Fish Selling,Food,to purchase additional boxes of fish to sell
1334495,Cosmetics Sales,Retail,to purchase tissue to sell.
778593,General Store,Retail,"to buy sugar, salt, cassava flour and other general merchandise "
1094638,Food Production/Sales,Food,to buy many groceries in advance and to buy some new pots and utensils.
1100559,Pigs,Agriculture,"to buy feeds, vitamins, and other supplies to raise her livestock"
855840,Farming,Agriculture,to buy a motorbike to transport produce to market.
777887,Agriculture,Agriculture,to pay for land and planting preparation
855042,Clothing Sales,Clothing,to buy a greater variety of cloth and spools of thread in various colors to consistently meet customers’ demands.
879084,Food Production/Sales,Food,"to purchase groceries, plastic plates and glasses. "
1028412,Farm Supplies,Agriculture,to buy seed and fertilizer to grow peanuts.
703558,Construction,Construction,"to purchase good quality timber, metal, and slate in large quantities. "
946353,Shoe Sales,Retail,to buy more shoes to offer to her customers
1062747,Farming,Agriculture,"to buy farm inputs such as good quality seeds, fertilizer and pesticides."
996136,Pigs,Agriculture,"to buy feed, vitamins and vaccines for her pigs."
958790,Agriculture,Agriculture,to buy manure and to maintain his coffee crop.
1040136,Fruits & Vegetables,Food,to buy more stocks of banana and firewood to resell.
1159653,Cafe,Food,"to pay for new furniture, a toaster, and a french fries machine for his cafe."
1128946,Pigs,Agriculture,to buy feeds and vitamins for her pigs
827953,Food,Food,"to purchase bundles of wheat flour, maize flour, tea leaves, and cooking fat"
1152523,Construction Supplies,Construction,to purchase construction materials like cement and sand to repair her rental houses.
820166,Cattle,Agriculture,To purchase two cows.
1243955,Livestock,Agriculture,to pay for new beehives to produce honey and buy forage to feed the livestock
1098545,General Store,Retail,"to buy assorted goods such as; drinks, food seasoning, noodles, canned goods, chips, biscuits, sugar, coffee and cereals."
943414,Transportation,Transportation,"to make necessary maintenance and body work for his van, to keep it in good shape and continue providing his transportation services."
1068828,Internet Cafe,Services,"to buy: a mouse, headset, 2 regulators, toner, colored ink, paper, and a small laminator."
712816,Animal Sales,Agriculture,purchase cattle
933544,General Store,Retail,"to buy items to sell, like shampoo, canned goods, eggs, milk, sugar, coffee, etc."
981024,Crafts,Arts,"to buy glass beads and silver to make cuffs, rings, earrings, necklaces, and tools to work with these materials."
1156078,Fishing,Food,to buy more materials and gears for her fishing business
653286,Personal Housing Expenses,Housing,to pay for the construction of a hygienic toilet and a hand-washing device with soap.		 		 		 		 		
1173873,Higher education costs,Education,to pay for university fees.
1040219,Spare Parts,Retail,to buy spare parts and motorcycle lubricants.
1067392,Construction,Construction,"to buy new machine, for the construction business."
